userId,movieId,rating,timestamp
300000,111759,5.0,0
300000,2791,5.0,0
300000,103228,5.0,0
300000,109487,5.0,0
300000,286897,5.0,0
300000,287699,5.0,0
300000,33493,5.0,0
300000,274053,5.0,0
300000,77561,5.0,0
300001,117529,5.0,0
300001,204120,5.0,0
300001,2571,5.0,0
300001,79132,5.0,0
300001,5618,5.0,0
300001,60069,5.0,0
300001,163134,5.0,0
300001,6377,5.0,0
300001,202439,5.0,0
300001,195159,5.0,0
300002,1196,5.0,0
300002,91529,5.0,0
300002,286897,5.0,0
300002,58559,5.0,0
300002,7153,5.0,0
300002,153548,5.0,0
300002,1210,5.0,0
300002,1258,5.0,0
300002,1704,5.0,0
300002,318,5.0,0

